State_UT,Year,Rape_I,Rape_V,Rape_R,Attempt_to_Commit_Rape_I,Attempt_to_Commit_Rape_V,Attempt_to_Commit_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Assault_on_Women_Modesty_I,Assault_on_Women_Modesty_V,Assault_on_Women_Modesty_R,Sexual_Harassment_I,Sexual_Harassment_V,Sexual_Harassment_R,Stalking_I,Stalking_V,Stalking_R,Voyeurism_I,Voyeurism_V,Voyeurism_R,Disrobe_Sec354B_I,Disrobe_Sec354B_V,Disrobe_Sec354B_R,Kidnapping_Abduction_Women_I,Kidnapping_Abduction_Women_V,Kidnapping_Abduction_Women_R,Human_Trafficking_I,Human_Trafficking_V,Human_Trafficking_R,Cruelty_by_Husband_Relatives_I,Cruelty_by_Husband_Relatives_V,Cruelty_by_Husband_Relatives_R,Insult_to_Modesty_Sec509_I,Insult_to_Modesty_Sec509_V,Insult_to_Modesty_Sec509_R
Assam,2023,989,1033,5.6,173,177,1.0,101,107,0.6,1595,1619,9.1,209,210,1.2,101,104,0.6,51,52,0.3,336,339,1.9,1371,1389,7.8,96,174,0.3,2923,2964,16.6,42,42,0.2
Bihar,2023,902,902,1.5,47,47,0.1,1143,1143,1.9,472,472,0.8,33,33,0.1,44,44,0.1,2,2,0.0,44,44,0.1,9467,9486,15.5,52,135,0.0,2032,2032,3.3,47,47,0.1
Chhattisgarh,2023,1171,1171,7.8,5,5,0.0,46,49,0.3,1034,1037,6.8,207,208,1.4,62,62,0.4,9,9,0.1,32,32,0.2,77,77,0.5,18,34,0.1,755,757,5.0,241,241,1.6
Goa,2023,97,98,12.4,0,0,0.0,1,1,0.1,96,107,12.3,34,35,4.3,21,21,2.7,3,3,0.4,1,1,0.1,0,0,0.0,6,18,0.4,0,0,0.0,21,21,2.7
Gujarat,2023,634,637,1.9,0,0,0.0,12,12,0.0,688,698,2.0,246,252,0.7,98,101,0.3,26,26,0.1,54,55,0.2,567,573,1.7,4,14,0.0,2176,2191,6.4,15,15,0.0
Haryana,2023,1772,1772,12.4,199,200,1.4,207,211,1.4,2265,2281,15.9,579,584,4.1,483,487,3.4,72,72,0.5,425,431,3.0,968,970,6.8,77,97,0.3,5191,5197,36.3,443,443,3.1
Himachal Pradesh,2023,344,345,9.3,3,3,0.1,0,0,0.0,504,506,13.7,176,177,4.8,112,113,3.0,8,8,0.2,25,25,0.7,144,144,3.9,5,11,0.1,217,217,5.9,97,97,2.6
Jharkhand,2023,1221,1221,6.3,66,66,0.3,218,228,1.1,944,977,4.9,116,117,0.6,26,26,0.1,28,28,0.1,214,220,1.1,775,775,4.0,78,122,0.2,770,813,4.0,4,4,0.0
Karnataka,2023,656,658,2.0,10,11,0.0,156,160,0.5,6790,8284,20.3,713,739,2.1,242,254,0.7,52,54,0.2,1423,1791,4.3,29,30,0.1,14,35,0.0,3000,3141,9.0,148,154,0.4
Kerala,2023,843,845,4.5,54,55,0.3,8,8,0.0,4816,4885,25.9,1649,1685,8.9,491,495,2.6,120,120,0.6,158,162,0.8,39,40,0.2,25,35,0.1,4710,4832,25.3,679,689,3.6
Madhya Pradesh,2023,2979,2979,7.1,38,38,0.1,468,469,1.1,5078,5079,12.1,1369,1369,3.2,1005,1005,2.4,85,85,0.2,40,40,0.1,1673,1675,4.0,38,76,0.0,7577,7597,18.0,243,243,0.6
Maharashtra,2023,2930,2932,4.8,0,0,0.0,170,173,0.3,12133,12162,20.0,3054,3070,5.0,2689,2693,4.4,200,203,0.3,561,562,0.9,138,152,0.2,319,579,0.3,11226,11253,18.5,1309,1315,2.2
Manipur,2023,27,27,1.7,0,0,0.0,1,1,0.1,66,66,4.1,1,1,0.1,1,1,0.1,1,1,0.1,2,2,0.1,12,13,0.7,2,3,0.1,7,7,0.4,8,8,0.5
Meghalaya,2023,66,69,3.9,12,12,0.7,0,0,0.0,51,52,3.0,15,16,0.9,3,3,0.2,3,3,0.2,1,1,0.1,6,6,0.4,0,0,0.0,14,14,0.8,17,17,1.0
Mizoram,2023,36,36,5.9,1,1,0.2,0,0,0.0,28,28,4.6,19,19,3.1,1,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0,0,0,0.0,5,5,0.8,0,0,0.0
Nagaland,2023,10,10,0.9,3,3,0.3,0,0,0.0,14,14,1.3,4,4,0.4,3,3,0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,1,1,0.1
Odisha,2023,1195,1195,5.2,123,123,0.5,231,231,1.0,9367,9367,40.6,1007,1007,4.4,351,351,1.5,94,94,0.4,1978,1978,8.6,64,64,0.3,157,157,0.3,5534,5534,24.0,569,593,2.5
Punjab,2023,457,459,3.1,23,24,0.2,44,44,0.3,656,658,4.5,169,169,1.2,65,65,0.4,12,12,0.1,66,67,0.5,1383,1413,9.5,30,35,0.1,1532,1532,10.5,20,20,0.1
Rajasthan,2023,5078,5194,12.8,845,846,2.1,428,430,1.1,9456,9499,23.9,1473,1474,3.7,509,510,1.3,165,165,0.4,551,551,1.4,1546,1624,3.9,17,23,0.0,18033,18098,45.5,81,81,0.2
Sikkim,2023,9,9,2.8,0,0,0.0,0,0,0.0,16,16,4.9,4,4,1.2,2,2,0.6,1,1,0.3,1,1,0.3,1,1,0.3,0,0,0.0,1,1,0.3,0,0,0.0
Tamil Nadu,2023,365,365,0.9,41,41,0.1,11,11,0.0,1650,1670,4.3,244,244,0.6,117,117,0.3,55,56,0.1,59,59,0.2,193,193,0.5,3,12,0.0,1017,1073,2.6,46,46,0.1
Telangana,2023,817,817,4.3,41,41,0.2,145,147,0.8,5024,5403,26.5,828,837,4.4,1884,1887,9.9,165,165,0.9,119,119,0.6,220,222,1.2,243,394,0.6,10518,10518,55.5,957,961,5.0
Tripura,2023,57,57,2.8,5,5,0.2,21,21,1.0,110,119,5.4,13,13,0.6,0,0,0.0,0,0,0.0,24,25,1.2,29,30,1.4,18,74,0.4,319,319,15.6,3,3,0.1
Uttar Pradesh,2023,3516,3556,3.1,140,140,0.1,2122,2141,1.9,9453,9549,8.3,3581,3620,3.2,412,413,0.4,144,144,0.1,1750,1764,1.5,10627,10675,9.4,17,41,0.0,19889,20231,17.5,145,145,0.1
Uttarakhand,2023,421,421,7.4,20,20,0.4,48,48,0.8,624,624,11.0,29,29,0.5,46,46,0.8,7,7,0.1,8,8,0.1,82,86,1.4,17,47,0.1,1016,1022,17.9,26,26,0.5
West Bengal,2023,1110,1112,2.3,825,826,1.7,350,350,0.7,2479,2487,5.1,340,340,0.7,353,355,0.7,204,205,0.4,537,540,1.1,515,516,1.1,34,49,0.0,19698,20462,40.5,412,413,0.8
A&N Islands,2023,14,14,7.3,0,0,0.0,0,0,0.0,31,31,16.2,9,9,4.7,0,0,0.0,1,1,0.5,1,1,0.5,0,0,0.0,0,0,0.0,6,6,3.1,12,12,6.3
Chandigarh,2023,102,102,17.9,1,1,0.2,4,4,0.7,40,42,7.0,5,5,0.9,15,16,2.6,2,2,0.4,1,1,0.2,9,9,1.6,2,2,0.2,76,76,13.4,5,6,0.9
D&N Haveli and Daman & Diu,2023,6,6,1.4,1,1,0.2,0,0,0.0,12,12,2.7,6,6,1.4,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,0,0,0.0,2,2,0.5,3,3,0.7
Delhi,2023,1094,1094,10.9,0,0,0.0,115,115,1.1,1814,1828,18.0,400,404,4.0,233,233,2.3,44,44,0.4,321,324,3.2,0,0,0.0,86,811,0.4,4236,4239,42.1,352,352,3.5
Jammu & Kashmir,2023,231,231,3.6,2,2,0.0,9,9,0.1,1542,1545,23.7,70,71,1.1,15,15,0.2,1,1,0.0,104,104,1.6,426,427,6.6,9,33,0.1,524,524,8.1,21,21,0.3
Ladakh,2023,2,2,1.5,0,0,0.0,0,0,0.0,2,2,1.5,1,1,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,4.5,4,4,3.0
Lakshadweep,2023,1,1,3.0,0,0,0.0,0,0,0.0,7,7,21.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,3.0,0,0,0.0,0,0,0.0,3,3,9.1,1,1,3.0
Puducherry,2023,9,9,1.0,1,1,0.1,1,1,0.1,30,30,3.4,12,12,1.4,5,5,0.6,3,3,0.3,3,3,0.3,0,0,0.0,10,18,0.6,9,9,1.0,9,9,1.0
